Flight No,Origin,Destination,Airline,Equipment,Type,o_iata,d_iata
2C622,Paris,Mumbai,CMA CGM Air Cargo,A332,I,CDG,BOM
2C622,Mumbai,Guangzhou,CMA CGM Air Cargo,A332,I,BOM,CAN
3L111,Abu Dhabi,Ahmedabad,Air Arabia,A320,I,AUH,AMD
3L112,Ahmedabad,Abu Dhabi,Air Arabia,A320,I,AMD,AUH
3L125,Abu Dhabi,Cochin,Air Arabia,A320,I,AUH,COK
3L126,Cochin,Abu Dhabi,Air Arabia,A320,I,COK,AUH
3L127,Abu Dhabi,Cochin,Air Arabia,A320,I,AUH,COK
3L128,Cochin,Abu Dhabi,Air Arabia,A320,I,COK,AUH
3L141,Abu Dhabi,Chennai,Air Arabia,A320,I,AUH,MAA
3L142,Chennai,Abu Dhabi,Air Arabia,A320,I,MAA,AUH
3L143,Abu Dhabi,Chennai,Air Arabia,A320,I,AUH,MAA
3L144,Chennai,Abu Dhabi,Air Arabia,A320,I,MAA,AUH
3S531,Bengaluru,Leipzig,DHL,B77L,I,BLR,LEJ
3S531,Bangkok,Bengaluru,DHL,B77L,I,BKK,BLR
3S593,Hong Kong,Delhi,AeroLogic,B77L,I,HKG,DEL
3S593,Delhi,Leipzig,AeroLogic,B77L,I,DEL,LEJ
3S614,Frankfurt,Delhi,AeroLogic,B77L,I,FRA,DEL
3S615,Delhi,Frankfurt,AeroLogic,B77L,I,DEL,FRA
3S622,Frankfurt,Mumbai,DHL,B77L,I,FRA,BOM
3S623,Mumbai,Frankfurt,DHL,B77L,I,BOM,FRA
3U3701,Xi'an,Delhi,Sichuan Airlines,33X,I,XIY,DEL
3U3709,Chengdu,Mumbai,Sichuan Airlines,33X,I,CTU,BOM
3U3809,Chengdu,Chennai,Sichuan Airlines,33X,I,CTU,MAA
3U9641,Chengdu,Chennai,Sichuan Airlines,A333,I,TFU,MAA
3U9645,Chengdu,Mumbai,Sichuan Airlines,33F,I,TFU,BOM
3U9646,Mumbai,Chengdu,Sichuan Airlines,A333,I,BOM,TFU
3U9656,Delhi,Chengdu,Sichuan Airlines,33F,I,DEL,TFU
5X15,Delhi,Cologne,UPS,B748,I,DEL,CGN
5X15,Bangkok,Delhi,UPS,B748,I,BKK,DEL
5X9,Shenzhen,Bengaluru,UPS,B748,I,SZX,BLR
5X9,Bengaluru,Cologne,UPS,B748,I,BLR,CGN
5Y8139,Hong Kong,Delhi,Atlas Air,B744,I,HKG,DEL
5Y8140,Delhi,Hong Kong,Atlas Air,B744,I,DEL,HKG
6E1001,Chennai,Singapore,IndiGo,A320,I,MAA,SIN
6E1002,Singapore,Chennai,IndiGo,A320,I,SIN,MAA
6E1003,Chennai,Singapore,IndiGo,A21N,I,MAA,SIN
6E1004,Singapore,Chennai,IndiGo,A21N,I,SIN,MAA
6E1005,Bengaluru,Singapore,IndiGo,A21N,I,BLR,SIN
6E1006,Singapore,Bengaluru,IndiGo,A21N,I,SIN,BLR
6E1011,Mumbai,Singapore,IndiGo,A21N,I,BOM,SIN
6E1012,Singapore,Mumbai,IndiGo,A21N,I,SIN,BOM
6E1013,Delhi,Singapore,IndiGo,A21N,I,DEL,SIN
6E1014,Singapore,Delhi,IndiGo,A21N,I,SIN,DEL
6E1015,Kolkata,Singapore,IndiGo,A21N,I,CCU,SIN
6E1016,Singapore,Kolkata,IndiGo,A21N,I,SIN,CCU
6.00E+102,Mumbai,Delhi,IndiGo,A21N,D,BOM,DEL
6E1027,Hyderabad,Singapore,IndiGo,A21N,I,HYD,SIN
6E1028,Singapore,Hyderabad,IndiGo,A21N,I,SIN,HYD
6.00E+103,Pune,Hyderabad,IndiGo,A20N,D,PNQ,HYD
6E1031,Chennai,Kuala Lumpur,IndiGo,A20N,I,MAA,KUL
6E1032,Kuala Lumpur,Chennai,IndiGo,A20N,I,KUL,MAA
6.00E+105,Bengaluru,Pune,IndiGo,A20N,D,BLR,PNQ
6E1051,Mumbai,Bangkok,IndiGo,A20N,I,BOM,BKK
6E1052,Bangkok,Mumbai,IndiGo,A20N,I,BKK,BOM
6E1053,Delhi,Bangkok,IndiGo,A20N,I,DEL,BKK
6E1054,Bangkok,Delhi,IndiGo,A20N,I,BKK,DEL
6E1055,Bengaluru,Bangkok,IndiGo,A20N,I,BLR,BKK
6E1056,Bangkok,Bengaluru,IndiGo,A20N,I,BKK,BLR
6E1057,Kolkata,Bangkok,IndiGo,A320,I,CCU,BKK
6E1058,Bangkok,Kolkata,IndiGo,A20N,I,BKK,CCU
6E1067,Hyderabad,Bangkok,IndiGo,A20N,I,HYD,BKK
6E1068,Bangkok,Hyderabad,IndiGo,A20N,I,BKK,HYD
6.00E+107,Pune,Bengaluru,IndiGo,A20N,D,PNQ,BLR
6E1071,Mumbai,Phuket,IndiGo,A20N,I,BOM,HKT
6E1072,Phuket,Mumbai,IndiGo,A20N,I,HKT,BOM
6E1073,Delhi,Phuket,IndiGo,A20N,I,DEL,HKT
6E1074,Phuket,Delhi,IndiGo,A20N,I,HKT,DEL
6E1077,Bengaluru,Phuket,IndiGo,A20N,I,BLR,HKT
6E1078,Phuket,Bengaluru,IndiGo,A20N,I,HKT,BLR
6.00E+108,Hyderabad,Chandigarh,IndiGo,A21N,D,HYD,IXC
6.00E+109,Bengaluru,Mangalore,IndiGo,A21N,D,BLR,IXE
6.00E+11,Delhi,Istanbul,IndiGo,B77W,I,DEL,IST
6E1103,Delhi,Dhaka,IndiGo,A21N,I,DEL,DAC
6E1104,Dhaka,Delhi,IndiGo,A21N,I,DAC,DEL
6E1105,Kolkata,Dhaka,IndiGo,A21N,I,CCU,DAC
6E1106,Dhaka,Kolkata,IndiGo,A21N,I,DAC,CCU
6E1113,Chennai,Dhaka,IndiGo,A20N,I,MAA,DAC
6E1114,Dhaka,Chennai,IndiGo,A20N,I,DAC,MAA
6E1115,Mumbai,Dhaka,IndiGo,A20N,I,BOM,DAC
6E1116,Dhaka,Mumbai,IndiGo,A20N,I,DAC,BOM
